epoch,val_loss
1,0.644097
2,0.371840
3,0.319824
4,0.286416
5,0.273186
6,0.253915
7,0.235118
8,0.227867
9,0.211093
10,0.200199
11,0.191059
12,0.184865
13,0.176215
14,0.168242
15,0.157279
16,0.151961
17,0.146054
18,0.145612
19,0.137502
20,0.133415
21,0.128837
22,0.124359
23,0.128013
24,0.121284
25,0.114878
26,0.112132
27,0.109360
28,0.107881
29,0.107012
30,0.102566
31,0.103829
32,0.099098
33,0.100619
34,0.095370
35,0.094389
36,0.092847
37,0.091703
38,0.093601
39,0.089217
40,0.091220
41,0.087280
42,0.088656
43,0.087182
44,0.084554
45,0.084523
46,0.086431
47,0.082555
48,0.082305
49,0.081101
50,0.083092
