epoch,val_loss
1,0.644097
2,0.371840
3,0.319824
4,0.286416
5,0.273201
6,0.253929
7,0.235151
8,0.227881
9,0.211085
10,0.200218
11,0.191114
12,0.184888
13,0.176279
14,0.168229
15,0.157305
16,0.152002
17,0.146108
18,0.145725
19,0.137514
20,0.133470
21,0.128849
22,0.124360
23,0.127880
24,0.121337
25,0.114944
26,0.112161
27,0.109410
28,0.107906
29,0.106972
30,0.102576
31,0.103764
32,0.099050
33,0.100497
34,0.095320
35,0.094370
36,0.092772
37,0.091671
38,0.093502
39,0.089193
40,0.090930
41,0.087180
42,0.088594
43,0.087147
44,0.084424
45,0.084315
46,0.086350
47,0.082538
48,0.082254
49,0.081133
50,0.083119
