epoch,val_loss
1,0.655495
2,0.378405
3,0.328652
4,0.291689
5,0.274239
6,0.254787
7,0.240060
8,0.227985
9,0.212201
10,0.202800
11,0.193300
12,0.181502
13,0.173635
14,0.164423
15,0.159256
16,0.154252
17,0.146815
18,0.142699
19,0.135370
20,0.133880
21,0.128781
22,0.125834
23,0.120862
24,0.122154
25,0.114882
26,0.114485
27,0.109393
28,0.109728
29,0.104338
30,0.103522
31,0.103975
32,0.099853
33,0.099507
34,0.096789
35,0.094997
36,0.092867
37,0.092509
38,0.090462
39,0.090667
40,0.088788
41,0.089879
42,0.088470
43,0.086637
44,0.086420
45,0.087148
46,0.083559
47,0.083441
48,0.086715
49,0.081150
50,0.080475
