epoch,val_loss
1,0.655494
2,0.378400
3,0.328648
4,0.291692
5,0.274239
6,0.254779
7,0.240041
8,0.227953
9,0.212191
10,0.202811
11,0.193284
12,0.181495
13,0.173635
14,0.164445
15,0.159214
16,0.154217
17,0.146804
18,0.142710
19,0.135304
20,0.133703
21,0.128780
22,0.125757
23,0.120757
24,0.122078
25,0.114863
26,0.114399
27,0.109311
28,0.109746
29,0.104333
30,0.103487
31,0.103998
32,0.099825
33,0.099429
34,0.096731
35,0.094933
36,0.092820
37,0.092435
38,0.090326
39,0.090547
40,0.088668
41,0.089694
42,0.088316
43,0.086452
44,0.086355
45,0.087011
46,0.083456
47,0.083456
48,0.086738
49,0.081027
50,0.080363
